,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
443,448,1996,The Hunchback of Notre Dame,325500000,100138851,225361149
444,449,2010,Robin Hood,322459006,105487148,216971858
445,450,1993,Schindlerâs List,322197132,96898818,225298314
446,451,2010,Megamind,321887208,148415853,173471355
447,452,1987,Fatal Attraction,320100000,156645693,163454307
448,453,2018,Green Book,320029388,85080171,234949217
449,454,2010,The Last Airbender,319713881,131772187,187941694
450,455,1992,Lethal Weapon 3,319700000,144731527,174968473
451,456,2012,Journey 2: The Mysterious Island,318146162,103860290,214285872
452,457,2013,The Conjuring,317744402,137400141,180344261
453,458,2001,A Beautiful Mind,317668058,170708996,146959062
454,459,2009,Inglourious Basterds,316915264,120774594,196140670
455,460,1984,Beverly Hills Cop,316300000,234760478,81539522
456,461,2009,Disneyâs A Christmas Carol,315709697,137855863,177853834
457,462,1997,Air Force One,315268353,172956409,142311944
458,463,2009,The Proposal,314709717,163958031,150751686
459,464,1997,As Good as it Gets,314111923,148478011,165633912
460,465,2016,Resident Evil: The Final Chapter,314101190,26844692,287256498
461,466,2012,Battleship,313477717,65233400,248244317
462,467,2019,Knives Out,312952178,165364060,147588118
463,468,2017,Wonder,312755215,132422809,180332406
464,469,2004,The Polar Express,312719437,188578855,124140582
465,470,1999,Austin Powers: The Spy Who Shagged Me,312383487,206040085,106343402
466,471,2012,The Expendables 2,311979256,85028192,226951064
467,472,2007,Ocean's Thirteen,311744465,117144465,194600000
468,473,2015,The SpongeBob Movie: Sponge Out of Water,311013181,162994032,148019149
